link_kost,nama_kost,alamat_kost_1,alamat_kost_2,latitude,longitude,jenis_kost,luas_kamar,fasilitas_gedung,sekitar_gedung,harga_mulai,area makan,area parkir,cctv,cleaning service,dapur,gym,kolam renang,laundry,lift,meja kompor,mesin cuci,microwave,rooftop,ruang santai / ruang tamu,tempat jemur pakaian,wifi,sekitar_gedung_mall,sekitar_gedung_supermarket,sekitar_gedung_akses kesehatan,sekitar_gedung_sekolah,sekitar_gedung_akses transportasi,kota,tipe_kamar,tipe_kamar (nama_kamar),tipe_kamar (luas_kamar),tipe_kamar (harga_kamar),tipe_kamar (spesifikasi_kamar),tipe_kamar (fasilitas_kamar),fasilitas_kamar_pemanas air,fasilitas_kamar_shower,fasilitas_kamar_bathtub,fasilitas_kamar_wastafel,fasilitas_kamar_balkon,fasilitas_kamar_ac,fasilitas_kamar_kursi,fasilitas_kamar_lemari,fasilitas_kamar_meja,fasilitas_kamar_sprei,fasilitas_kamar_tv,fasilitas_kamar_tv kabel,luas_kost,harga_kost_per_bulan,fasilitas_kamar_jumlah kasur,fasilitas_kamar_tipe kasur,kompor,kulkas,dispenser,fasilitas_kamar_jendela kearah luar,jenis_kost_campur,fasilitas_kamar_termasuk listrik,fasilitas_kamar_kamar mandi dalam,jakarta_check,total_fasilitas_kamar,total_fasilitas_gedung,total_fasilitas,fasilitas_kamar_tipe kasur (encoded),fasilitas_kamar_jumlah kasur (encoded),group_1,group_2,group_3,group_4
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Compact Queen B,8.7,3300000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,0,1,1,0,1,0,8.7,3300000.0,1 bed,≥queen bed,1,1,1,1,1,1,1,1,10,13,23,3,1,21,2,1,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Regular Queen B,10.37,3200000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,1,1,1,0,1,0,10.37,3200000.0,1 bed,≥queen bed,1,1,1,1,1,1,1,1,11,13,24,3,1,21,2,2,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Compact Queen C,9.0,3550000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,1,1,1,0,1,0,9.0,3550000.0,1 bed,≥queen bed,1,1,1,1,1,1,1,1,11,13,24,3,1,21,2,2,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Regular Queen A,10.37,3700000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,1,1,1,0,1,0,10.37,3700000.0,1 bed,≥queen bed,1,1,1,1,1,1,1,1,11,13,24,3,1,21,2,2,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Superior Queen A,14.4,3700000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,1,1,1,0,1,0,14.4,3700000.0,1 bed,≥queen bed,1,1,1,1,1,1,1,1,11,13,24,3,1,21,2,2,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Master Queen A,16.65,3600000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi luar, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja']",1,1,0,1,0,1,1,1,1,0,0,0,16.65,3600000.0,1 bed,≥queen bed,1,1,1,1,1,1,0,1,9,13,22,3,1,19,2,2,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Executive Queen A,19.0,4500000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,1,1,1,0,1,0,19.0,4500000.0,1 bed,≥queen bed,1,1,1,1,1,1,1,1,11,13,24,3,1,21,2,2,2
https://infokost.id/listing/kost-jl-radio-v-no-6/,Kost Jl. Radio V No.6,"Jl. Radio V No.6, RT.3/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130","KRAMAT PELA,           KEBAYORAN BARU,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12130",-6.247664518637065,106.79334233995466,Kost Campur,0.0,[' Ruang santai / ruang tamu'],"['Blok M Square', 'Stasiun MRT Blok M', 'Barito Park', 'Apotek']",750000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,Jakarta Selatan,yes, Standard Non AC dan Sharing Bathroom,5.0,750000.0,"['1 Tempat tidur (90x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi luar']",[],0,0,0,0,0,0,0,0,0,0,0,0,5.0,750000.0,1 bed,single bed,0,0,0,0,1,0,0,1,0,3,3,0,1,3,0,0,0
https://infokost.id/listing/cozy-kost-salemba/,Cozy Kost Salemba,"Jl. Salemba Tengah No.60, RT.4/RW.4, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440","PASEBAN,           SENEN,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10440",-6.192889972300548,106.85483675968904,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' Dapur', ' Dispenser', ' Kulkas', ' Laundry', ' Ruang santai / ruang tamu', ' Wifi']","['Stasiun Kramat', 'RS St. Carolus – Salemba', 'Universitas Indonesia Salemba', 'Primaya Hospital Evasari', 'Pasar Pramuka']",2500000.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,Jakarta Pusat,yes, Tipe A,9.0,2500000.0,"['1 Tempat tidur (90x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower, Wastafel']","['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei', 'TV Kabel']",0,1,0,1,0,1,1,1,1,1,0,1,9.0,2500000.0,1 bed,single bed,0,1,1,0,1,0,1,1,9,10,19,0,1,17,0,2,0
https://infokost.id/listing/kost-biru-tawakal-7/,Kost Biru Tawakal 7,"Jl. Tawakal V No.7, RW.9/RT 9, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440","TOMANG,           GROGOL PETAMBURAN,           KOTA JAKARTA BARAT,           DKI JAKARTA           11440",-6.168726951393939,106.79560771848944,Kost Campur,0.0,"[' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Laundry', ' Rooftop', ' Ruang santai / ruang tamu']","['Rumah Sakit Sumber Waras', 'Universitas Trisakti', 'Roxy Square', 'ITC Roxy Mas', 'Ciputra Mall']",1500000.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,Jakarta Barat,yes, Comfort I,10.5,2000000.0,"['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower']","['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei']",0,1,0,0,0,1,1,1,1,1,0,0,10.5,2000000.0,1 bed,long bed,0,0,0,1,1,0,1,1,8,8,16,1,1,15,0,2,0
