loss,hyperparameters,iteration,runtime,score
441397.9510590328,"{'boosting_type': 'dart', 'colsample_bytree': 0.569692371670378, 'learning_rate': 0.270073916976964, 'max_depth': 3, 'num_leaves': 29, 'reg_alpha': 0.5940647747421568, 'reg_lambda': 0.512059237295495, 'subsample': 0.46834902808167217, 'n_estimators': 5000}",20,104.96001240000032,441397.9510590328
424350.3605912294,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.730296632342017, 'learning_rate': 0.06986325177755927, 'max_depth': 5, 'num_leaves': 128, 'reg_alpha': 0.4237636468598288, 'reg_lambda': 0.3777220671654299, 'subsample': 0.5461933324701058, 'n_estimators': 580}",21,2.6343127999998615,424350.3605912294
433107.79679112136,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.739849534543034, 'learning_rate': 0.19865907595820118, 'max_depth': 8, 'num_leaves': 103, 'reg_alpha': 0.4276797293876772, 'reg_lambda': 0.9881079514931244, 'subsample': 0.8436056592916262, 'n_estimators': 68}",22,0.8830754999999044,433107.79679112136
424449.15214741125,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5306313465862026, 'learning_rate': 0.08216036953570699, 'max_depth': 10, 'num_leaves': 90, 'reg_alpha': 0.4149416249595598, 'reg_lambda': 0.33943226274932137, 'subsample': 0.5299139454018001, 'n_estimators': 152}",23,1.9148338999998487,424449.15214741125
426724.52063201426,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6892062937451874, 'learning_rate': 0.19250118377383346, 'max_depth': 6, 'num_leaves': 115, 'reg_alpha': 0.31196134247690016, 'reg_lambda': 0.2786217561446078, 'subsample': 0.7001555761195334, 'n_estimators': 85}",24,0.6406577000002471,426724.52063201426
432352.2322460309,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.32064775072830676, 'learning_rate': 0.21308602217867384, 'max_depth': 9, 'num_leaves': 83, 'reg_alpha': 0.7112843594789077, 'reg_lambda': 0.4915797328711597, 'subsample': 0.5795671880978704, 'n_estimators': 129}",25,1.5861699999995835,432352.2322460309
423494.9173550654,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6756311138760704, 'learning_rate': 0.08676812009735928, 'max_depth': 7, 'num_leaves': 130, 'reg_alpha': 0.05319148300603396, 'reg_lambda': 0.40971423472540425, 'subsample': 0.3051021370542196, 'n_estimators': 231}",26,1.577522300000055,423494.9173550654
426931.7955571169,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7797318365646778, 'learning_rate': 0.07794337247519238, 'max_depth': 5, 'num_leaves': 133, 'reg_alpha': 0.09377285021951356, 'reg_lambda': 0.14776656066998, 'subsample': 0.30543602534804154, 'n_estimators': 368}",27,1.3518303000000742,426931.7955571169
424023.2841048213,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6947915707064221, 'learning_rate': 0.05032947690873186, 'max_depth': 8, 'num_leaves': 150, 'reg_alpha': 0.08220014699246303, 'reg_lambda': 0.39409155601641904, 'subsample': 0.3097450180696136, 'n_estimators': 348}",28,2.3342939999997725,424023.2841048213
425349.86539104127,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5741932234772262, 'learning_rate': 0.11010866866355853, 'max_depth': 4, 'num_leaves': 116, 'reg_alpha': 0.24390502717843549, 'reg_lambda': 0.5761600682049622, 'subsample': 0.5983236527422846, 'n_estimators': 196}",29,0.8038092000001598,425349.86539104127
425165.0402225666,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.49853112563330104, 'learning_rate': 0.08876389625323626, 'max_depth': 9, 'num_leaves': 120, 'reg_alpha': 0.020479946710451787, 'reg_lambda': 0.7557683787413041, 'subsample': 0.5051601547602756, 'n_estimators': 267}",30,3.220932300000186,425165.0402225666
429188.4056067389,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8958844671796597, 'learning_rate': 0.13768706962285873, 'max_depth': 9, 'num_leaves': 42, 'reg_alpha': 0.12976480845829463, 'reg_lambda': 0.9690574534029909, 'subsample': 0.33220202644467317, 'n_estimators': 103}",31,1.403111699999954,429188.4056067389
429781.39626059623,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7789989860143973, 'learning_rate': 0.1601535585459667, 'max_depth': 6, 'num_leaves': 110, 'reg_alpha': 0.4837706061390122, 'reg_lambda': 0.27265072820081826, 'subsample': 0.4426061621599987, 'n_estimators': 129}",32,1.086279099999956,429781.39626059623
425779.12856167776,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4305646388486701, 'learning_rate': 0.17535977399134112, 'max_depth': 4, 'num_leaves': 132, 'reg_alpha': 0.014362375182160554, 'reg_lambda': 0.5471196927937294, 'subsample': 0.6844642095008405, 'n_estimators': 255}",33,1.4345389000000068,425779.12856167776
434921.6935770142,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8304607597453029, 'learning_rate': 0.2321763870607822, 'max_depth': 7, 'num_leaves': 148, 'reg_alpha': 0.24824067368554847, 'reg_lambda': 0.6442078394682693, 'subsample': 0.9905670996756775, 'n_estimators': 72}",34,0.8235475999999835,434921.6935770142
427906.4785039006,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.36308306837590265, 'learning_rate': 0.11745286717295929, 'max_depth': 10, 'num_leaves': 126, 'reg_alpha': 0.003351461454617677, 'reg_lambda': 0.43790334480735804, 'subsample': 0.8795682280982543, 'n_estimators': 205}",35,2.808340600000065,427906.4785039006
456395.0906761571,"{'boosting_type': 'dart', 'colsample_bytree': 0.990108070858512, 'learning_rate': 0.14584170505226654, 'max_depth': 8, 'num_leaves': 94, 'reg_alpha': 0.4944534293702718, 'reg_lambda': 0.7051900251040357, 'subsample': 0.34210934642746654, 'n_estimators': 5000}",36,288.8087092999999,456395.0906761571
444491.9379116845,"{'boosting_type': 'dart', 'colsample_bytree': 0.5842940359696526, 'learning_rate': 0.30185161682795214, 'max_depth': 9, 'num_leaves': 110, 'reg_alpha': 0.10455279687406467, 'reg_lambda': 0.15034202568180505, 'subsample': 0.5789073708887148, 'n_estimators': 5000}",37,309.18578339999976,444491.9379116845
449518.94147231075,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5359868526833831, 'learning_rate': 0.4534165087576183, 'max_depth': 5, 'num_leaves': 79, 'reg_alpha': 0.18716515239518675, 'reg_lambda': 0.23223464112704814, 'subsample': 0.42506308292980866, 'n_estimators': 77}",38,0.7216470999997,449518.94147231075
